Linux 7.2.0-rc5-virtme (virtme-ng) 	07/31/26 	_x86_64_	(12 CPU)

20:13:55      %sio-10   %sio-60  %sio-300      %sio   %fio-10   %fio-60  %fio-300      %fio
20:14:00         0.00      0.01      0.00      0.01      0.00      0.00      0.00      0.01
20:14:05         0.00      0.01      0.00      0.00      0.00      0.00      0.00      0.00
20:14:10         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:14:15         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:14:20         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:14:25         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:14:30         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:14:35         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:14:40         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:14:45         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:14:50         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:14:55         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:15:00         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:15:05         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:15:10         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:15:15         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:15:20         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:15:25         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:15:30         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:15:35         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:15:40         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:15:45         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:15:50         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
20:15:55         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:16:00         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:16:05         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:16:10         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:16:15         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:16:20         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:16:25         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:16:30         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:16:35         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:16:40         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:16:45         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:16:50         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:16:55         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:17:00         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:17:05         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:17:10         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:17:15         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:17:20         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:17:25         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:17:30         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:17:35         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:17:40         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:17:45         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:17:50         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:17:55         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:18:00         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:18:05         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:18:10         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:18:15         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:18:20         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:18:25         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:18:30         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:18:35         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:18:40         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:18:45         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:18:50         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:18:55         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:19:00         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:19:05         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:19:10         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:19:15         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:19:20         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:19:25         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:19:30         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:19:35         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:19:40         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:19:45         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:19:50         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:19:55         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:20:00         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:20:05         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:20:10         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:20:15         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:20:20         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:20:25         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:20:30         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:20:36         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:20:41         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:20:46         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:20:51         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:20:56         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:21:01         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:21:06         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:21:11         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:21:16         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:21:21         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:21:26         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:21:31         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:21:36         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:21:41         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:21:46         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:21:51         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
20:21:56         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:22:01         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:22:06         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:22:11         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:22:16         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:22:21         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:22:26         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:22:31         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:22:36         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:22:41         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:22:46         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:22:51         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:22:56         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:23:01         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:23:06         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:23:11         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:23:16         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:23:21         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:23:26         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:23:31         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
